ticket_id,customer_id,ticket_date,issue_type,status,resolution_days
TKT_0000088,CUST_00045,2024-05-22,Technical Problem,Resolved,2.0
TKT_0000089,CUST_00046,2024-10-07,Product Quality,Resolved,6.0
TKT_0000090,CUST_00048,2024-09-15,Shipping Delay,Pending,
TKT_0000091,CUST_00048,2023-12-07,Product Quality,Resolved,1.0
TKT_0000092,CUST_00049,2023-10-28,Shipping Delay,Resolved,2.0
TKT_0000093,CUST_00049,2024-11-27,Product Quality,Resolved,6.0
TKT_0000094,CUST_00050,2024-05-22,Technical Problem,Resolved,5.0
TKT_0000095,CUST_00050,2024-05-07,Account Issue,Resolved,4.0
TKT_0000096,CUST_00051,2024-10-25,General Inquiry,Resolved,1.0
TKT_0000097,CUST_00051,2024-01-11,Product Quality,Resolved,5.0
TKT_0000098,CUST_00052,2024-11-26,Account Issue,Resolved,5.0
TKT_0000099,CUST_00052,2024-09-17,Shipping Delay,Resolved,3.0
TKT_0000100,CUST_00052,2023-12-25,General Inquiry,Resolved,3.0
TKT_0000101,CUST_00053,2024-04-21,Return Request,Resolved,5.0
TKT_0000102,CUST_00053,2024-12-25,Return Request,Resolved,2.0
TKT_0000103,CUST_00053,2024-05-07,Technical Problem,Resolved,7.0
TKT_0000104,CUST_00054,2023-12-06,Account Issue,Resolved,6.0
TKT_0000105,CUST_00054,2024-04-28,Product Quality,Resolved,3.0
TKT_0000106,CUST_00055,2024-10-25,Product Quality,Resolved,7.0
TKT_0000107,CUST_00055,2024-12-18,Shipping Delay,Resolved,5.0
TKT_0000108,CUST_00055,2024-08-19,Shipping Delay,Open,
TKT_0000109,CUST_00056,2024-09-18,General Inquiry,Resolved,1.0
TKT_0000110,CUST_00056,2024-10-06,Shipping Delay,Pending,
TKT_0000111,CUST_00057,2024-11-26,Technical Problem,Resolved,7.0
TKT_0000112,CUST_00058,2024-11-18,General Inquiry,Resolved,2.0
TKT_0000113,CUST_00060,2024-05-03,Account Issue,Resolved,1.0
TKT_0000114,CUST_00061,2024-02-15,Shipping Delay,Resolved,5.0
TKT_0000115,CUST_00061,2024-03-14,Technical Problem,Resolved,5.0
TKT_0000116,CUST_00061,2024-02-15,Shipping Delay,Resolved,3.0
TKT_0000117,CUST_00062,2024-09-09,Return Request,Resolved,3.0
TKT_0000118,CUST_00063,2024-08-21,Billing,Resolved,6.0
TKT_0000119,CUST_00063,2024-08-04,Shipping Delay,Pending,
TKT_0000120,CUST_00063,2024-07-02,Product Quality,Pending,
TKT_0000121,CUST_00065,2024-01-23,Account Issue,Open,
TKT_0000122,CUST_00065,2024-01-24,Shipping Delay,Resolved,7.0
TKT_0000123,CUST_00065,2023-06-08,Billing,Resolved,1.0
TKT_0000124,CUST_00065,2023-06-28,Product Quality,Open,
TKT_0000125,CUST_00066,2024-03-16,General Inquiry,Resolved,1.0
TKT_0000126,CUST_00066,2023-10-30,Billing,Resolved,4.0
TKT_0000127,CUST_00067,2024-04-07,Product Quality,Resolved,2.0
TKT_0000128,CUST_00067,2024-12-16,Account Issue,Resolved,1.0
TKT_0000129,CUST_00067,2023-09-13,Account Issue,Pending,
TKT_0000130,CUST_00067,2023-12-18,General Inquiry,Resolved,7.0
TKT_0000131,CUST_00068,2024-03-11,General Inquiry,Resolved,1.0
TKT_0000132,CUST_00069,2024-07-12,Shipping Delay,Resolved,3.0
TKT_0000133,CUST_00069,2024-03-05,Shipping Delay,Resolved,1.0
TKT_0000134,CUST_00070,2024-08-29,Shipping Delay,Resolved,4.0
TKT_0000135,CUST_00070,2024-07-13,Billing,Resolved,6.0
TKT_0000136,CUST_00070,2024-05-10,Product Quality,Resolved,2.0
TKT_0000137,CUST_00071,2024-09-10,General Inquiry,Resolved,6.0
TKT_0000138,CUST_00071,2024-10-05,Technical Problem,Open,
TKT_0000139,CUST_00072,2024-10-21,Billing,Resolved,7.0
TKT_0000140,CUST_00072,2024-02-21,Product Quality,Resolved,3.0
TKT_0000141,CUST_00072,2023-09-25,Product Quality,Resolved,6.0
TKT_0000142,CUST_00074,2023-09-15,Billing,Resolved,6.0
TKT_0000143,CUST_00074,2024-05-24,General Inquiry,Open,
TKT_0000144,CUST_00076,2024-07-27,Return Request,Resolved,3.0
TKT_0000145,CUST_00076,2024-12-08,Billing,Resolved,4.0
TKT_0000146,CUST_00076,2024-03-04,Return Request,Resolved,2.0
TKT_0000147,CUST_00077,2024-08-26,Return Request,Pending,
TKT_0000148,CUST_00077,2024-07-03,Account Issue,Pending,
TKT_0000149,CUST_00077,2024-10-09,Account Issue,Resolved,4.0
TKT_0000150,CUST_00077,2024-05-27,Shipping Delay,Resolved,1.0
TKT_0000151,CUST_00077,2023-12-27,Product Quality,Resolved,5.0
TKT_0000152,CUST_00078,2024-04-28,Shipping Delay,Pending,
TKT_0000153,CUST_00079,2024-04-17,Product Quality,Resolved,3.0
TKT_0000154,CUST_00079,2024-06-27,Product Quality,Resolved,4.0
TKT_0000155,CUST_00079,2024-01-28,Shipping Delay,Resolved,3.0
TKT_0000156,CUST_00080,2024-08-21,General Inquiry,Pending,
TKT_0000157,CUST_00080,2024-02-10,General Inquiry,Open,
TKT_0000158,CUST_00081,2024-08-18,Shipping Delay,Resolved,3.0
TKT_0000159,CUST_00082,2023-09-06,Billing,Resolved,4.0
TKT_0000160,CUST_00083,2024-12-06,Technical Problem,Resolved,4.0
TKT_0000161,CUST_00085,2024-08-01,Account Issue,Resolved,1.0
TKT_0000162,CUST_00087,2024-06-27,General Inquiry,Resolved,1.0
TKT_0000163,CUST_00088,2024-02-15,General Inquiry,Resolved,2.0
TKT_0000164,CUST_00089,2024-11-25,Technical Problem,Open,
TKT_0000165,CUST_00091,2024-08-22,General Inquiry,Resolved,3.0
TKT_0000166,CUST_00092,2024-10-08,General Inquiry,Resolved,1.0
TKT_0000167,CUST_00092,2023-06-05,Technical Problem,Resolved,6.0
TKT_0000168,CUST_00095,2024-04-10,Technical Problem,Resolved,4.0
TKT_0000169,CUST_00096,2024-02-17,Shipping Delay,Resolved,3.0
TKT_0000170,CUST_00096,2023-09-01,Shipping Delay,Resolved,5.0
TKT_0000171,CUST_00098,2023-12-06,Return Request,Open,
TKT_0000172,CUST_00099,2024-07-19,Account Issue,Open,
TKT_0000173,CUST_00099,2024-10-28,Billing,Pending,
TKT_0000174,CUST_00099,2024-11-06,Shipping Delay,Resolved,6.0
TKT_0000175,CUST_00100,2023-07-20,Return Request,Resolved,7.0
TKT_0000176,CUST_00100,2024-07-18,General Inquiry,Resolved,5.0
TKT_0000177,CUST_00102,2023-09-06,Shipping Delay,Resolved,7.0
TKT_0000178,CUST_00104,2024-10-21,Billing,Pending,
TKT_0000179,CUST_00104,2024-05-04,General Inquiry,Resolved,3.0
TKT_0000180,CUST_00105,2024-10-26,General Inquiry,Resolved,1.0
TKT_0000181,CUST_00106,2024-06-09,Product Quality,Resolved,3.0
TKT_0000182,CUST_00107,2024-05-20,General Inquiry,Resolved,6.0
TKT_0000183,CUST_00108,2024-08-25,General Inquiry,Resolved,7.0
TKT_0000184,CUST_00109,2023-06-28,General Inquiry,Resolved,1.0
TKT_0000185,CUST_00109,2023-10-21,Product Quality,Resolved,1.0
TKT_0000186,CUST_00109,2024-01-08,Account Issue,Resolved,7.0
TKT_0000187,CUST_00110,2024-06-30,Billing,Resolved,3.0
TKT_0000188,CUST_00110,2023-11-06,Account Issue,Resolved,1.0
TKT_0000189,CUST_00112,2023-10-24,Billing,Resolved,4.0
TKT_0000190,CUST_00113,2024-06-19,Product Quality,Resolved,7.0
TKT_0000191,CUST_00113,2024-10-26,Product Quality,Open,
TKT_0000192,CUST_00113,2024-02-23,Shipping Delay,Resolved,2.0
TKT_0000193,CUST_00114,2023-06-10,Shipping Delay,Resolved,6.0
TKT_0000194,CUST_00114,2024-10-21,Return Request,Pending,
TKT_0000195,CUST_00114,2023-08-29,Technical Problem,Resolved,6.0
TKT_0000196,CUST_00115,2023-05-01,Shipping Delay,Resolved,7.0
TKT_0000197,CUST_00116,2024-04-08,Billing,Resolved,2.0
TKT_0000198,CUST_00116,2023-07-31,General Inquiry,Resolved,4.0
TKT_0000199,CUST_00117,2024-02-19,Billing,Resolved,4.0
TKT_0000200,CUST_00117,2024-11-03,Billing,Open,
TKT_0000201,CUST_00117,2024-05-17,Product Quality,Resolved,6.0
TKT_0000202,CUST_00118,2024-08-15,Shipping Delay,Resolved,5.0
TKT_0000203,CUST_00118,2023-12-30,Product Quality,Open,
TKT_0000204,CUST_00118,2024-10-22,Technical Problem,Pending,
TKT_0000205,CUST_00119,2024-11-03,Account Issue,Resolved,3.0
TKT_0000206,CUST_00119,2024-10-26,Product Quality,Resolved,2.0
TKT_0000207,CUST_00119,2024-12-09,Account Issue,Resolved,7.0
TKT_0000208,CUST_00121,2024-09-05,General Inquiry,Resolved,7.0
TKT_0000209,CUST_00121,2024-11-06,Shipping Delay,Resolved,2.0
TKT_0000210,CUST_00121,2024-11-07,Product Quality,Resolved,2.0
TKT_0000211,CUST_00121,2024-05-31,Billing,Resolved,1.0
TKT_0000212,CUST_00121,2024-06-02,Shipping Delay,Pending,
TKT_0000213,CUST_00124,2024-10-13,Technical Problem,Open,
TKT_0000214,CUST_00124,2024-06-19,Product Quality,Resolved,7.0
TKT_0000215,CUST_00125,2024-12-31,Billing,Open,
TKT_0000216,CUST_00126,2023-04-21,General Inquiry,Resolved,2.0
TKT_0000217,CUST_00126,2024-01-03,Product Quality,Resolved,1.0
TKT_0000218,CUST_00126,2023-05-09,Billing,Resolved,3.0
TKT_0000219,CUST_00126,2024-03-22,Shipping Delay,Resolved,4.0
TKT_0000220,CUST_00127,2024-03-30,Return Request,Pending,
TKT_0000221,CUST_00131,2024-03-11,Shipping Delay,Resolved,4.0
TKT_0000222,CUST_00131,2024-11-19,Account Issue,Open,
TKT_0000223,CUST_00133,2024-10-23,Product Quality,Resolved,6.0
TKT_0000224,CUST_00133,2024-12-24,Return Request,Resolved,6.0
TKT_0000225,CUST_00133,2024-10-16,Shipping Delay,Resolved,5.0
TKT_0000226,CUST_00134,2023-12-07,Billing,Open,
TKT_0000227,CUST_00134,2023-07-27,Product Quality,Pending,
TKT_0000228,CUST_00134,2023-05-16,Billing,Resolved,6.0
TKT_0000229,CUST_00135,2024-02-10,Billing,Resolved,4.0
TKT_0000230,CUST_00136,2024-07-11,Technical Problem,Resolved,1.0
TKT_0000231,CUST_00137,2024-03-03,Return Request,Resolved,4.0
TKT_0000232,CUST_00138,2024-03-18,Return Request,Resolved,2.0
TKT_0000233,CUST_00140,2023-04-12,General Inquiry,Resolved,5.0
TKT_0000234,CUST_00140,2023-07-21,Technical Problem,Resolved,4.0
TKT_0000235,CUST_00140,2024-09-08,General Inquiry,Resolved,2.0
TKT_0000236,CUST_00141,2024-03-17,General Inquiry,Resolved,1.0
TKT_0000237,CUST_00142,2023-12-28,Shipping Delay,Resolved,5.0
TKT_0000238,CUST_00142,2023-06-23,Shipping Delay,Resolved,1.0
TKT_0000239,CUST_00145,2024-09-04,Return Request,Resolved,6.0
TKT_0000240,CUST_00145,2024-05-20,General Inquiry,Pending,
TKT_0000241,CUST_00145,2024-05-26,General Inquiry,Resolved,7.0
TKT_0000242,CUST_00149,2024-07-20,Billing,Resolved,3.0
TKT_0000243,CUST_00149,2024-09-08,Product Quality,Open,
TKT_0000244,CUST_00149,2024-08-04,Shipping Delay,Open,
TKT_0000245,CUST_00149,2024-12-19,Billing,Resolved,2.0
TKT_0000246,CUST_00149,2024-02-17,Shipping Delay,Resolved,7.0
TKT_0000247,CUST_00150,2024-12-05,Account Issue,Resolved,2.0
TKT_0000248,CUST_00150,2024-10-15,Shipping Delay,Resolved,1.0
TKT_0000249,CUST_00150,2024-07-05,Shipping Delay,Pending,
TKT_0000250,CUST_00153,2024-10-14,Shipping Delay,Open,
TKT_0000251,CUST_00153,2024-06-16,Account Issue,Resolved,4.0
TKT_0000252,CUST_00154,2024-05-16,Shipping Delay,Pending,
TKT_0000253,CUST_00154,2024-08-08,Shipping Delay,Pending,
TKT_0000254,CUST_00154,2024-03-20,Billing,Resolved,1.0
TKT_0000255,CUST_00155,2023-07-15,General Inquiry,Resolved,5.0
TKT_0000256,CUST_00155,2024-03-19,General Inquiry,Resolved,6.0
TKT_0000257,CUST_00155,2023-09-25,Return Request,Resolved,4.0
TKT_0000258,CUST_00158,2024-08-18,Billing,Pending,
TKT_0000259,CUST_00158,2024-09-29,Product Quality,Pending,
TKT_0000260,CUST_00158,2024-11-11,Billing,Resolved,5.0
TKT_0000261,CUST_00160,2023-05-31,General Inquiry,Resolved,7.0
TKT_0000262,CUST_00160,2024-01-26,General Inquiry,Pending,
TKT_0000263,CUST_00162,2023-08-30,Product Quality,Open,
TKT_0000264,CUST_00162,2023-12-22,Shipping Delay,Resolved,6.0
TKT_0000265,CUST_00162,2024-10-07,Billing,Resolved,1.0
TKT_0000266,CUST_00163,2023-07-10,General Inquiry,Resolved,5.0
TKT_0000267,CUST_00163,2023-05-08,General Inquiry,Resolved,5.0
TKT_0000268,CUST_00164,2023-11-30,Shipping Delay,Resolved,5.0
TKT_0000269,CUST_00164,2024-08-13,Account Issue,Pending,
TKT_0000270,CUST_00164,2023-10-19,Product Quality,Resolved,2.0
TKT_0000271,CUST_00165,2024-05-27,Account Issue,Resolved,4.0
TKT_0000272,CUST_00165,2024-05-19,Technical Problem,Open,
TKT_0000273,CUST_00166,2024-04-08,Account Issue,Resolved,1.0
TKT_0000274,CUST_00166,2023-09-11,Account Issue,Resolved,2.0
TKT_0000275,CUST_00167,2023-06-10,Product Quality,Resolved,1.0
TKT_0000276,CUST_00168,2023-07-24,Shipping Delay,Resolved,5.0
TKT_0000277,CUST_00168,2023-12-26,Technical Problem,Resolved,3.0
TKT_0000278,CUST_00169,2024-09-02,Technical Problem,Resolved,5.0
TKT_0000279,CUST_00169,2024-07-08,General Inquiry,Resolved,3.0
TKT_0000280,CUST_00170,2024-01-09,Return Request,Resolved,6.0
TKT_0000281,CUST_00170,2024-05-08,Technical Problem,Resolved,6.0
TKT_0000282,CUST_00170,2023-11-06,General Inquiry,Resolved,5.0
TKT_0000283,CUST_00171,2024-02-24,Account Issue,Resolved,1.0
TKT_0000284,CUST_00171,2023-12-18,General Inquiry,Resolved,1.0
TKT_0000285,CUST_00172,2023-12-28,Technical Problem,Resolved,7.0
TKT_0000286,CUST_00174,2024-11-14,Return Request,Resolved,5.0
TKT_0000287,CUST_00174,2024-05-05,Technical Problem,Resolved,1.0
TKT_0000288,CUST_00175,2024-10-14,Product Quality,Resolved,2.0
TKT_0000289,CUST_00175,2024-04-19,Shipping Delay,Resolved,3.0
TKT_0000290,CUST_00176,2023-08-18,Account Issue,Resolved,6.0
TKT_0000291,CUST_00176,2024-03-20,Product Quality,Resolved,4.0
TKT_0000292,CUST_00176,2024-05-17,Account Issue,Pending,
TKT_0000293,CUST_00177,2024-08-10,Account Issue,Resolved,5.0
TKT_0000294,CUST_00178,2023-05-21,General Inquiry,Resolved,3.0
TKT_0000295,CUST_00179,2024-09-09,Shipping Delay,Resolved,2.0
TKT_0000296,CUST_00179,2024-12-09,Product Quality,Resolved,3.0
TKT_0000297,CUST_00180,2024-09-18,Account Issue,Resolved,3.0
TKT_0000298,CUST_00180,2024-10-28,General Inquiry,Resolved,1.0
TKT_0000299,CUST_00180,2024-07-09,Technical Problem,Resolved,1.0
TKT_0000300,CUST_00181,2024-05-07,General Inquiry,Resolved,4.0
TKT_0000301,CUST_00182,2024-11-12,Return Request,Pending,
TKT_0000302,CUST_00184,2023-10-08,General Inquiry,Resolved,3.0
TKT_0000303,CUST_00184,2024-01-08,Billing,Resolved,4.0
TKT_0000304,CUST_00184,2024-04-13,General Inquiry,Resolved,3.0
TKT_0000305,CUST_00185,2024-09-19,Product Quality,Open,
TKT_0000306,CUST_00185,2024-03-23,Return Request,Resolved,7.0
TKT_0000307,CUST_00185,2024-12-19,Return Request,Resolved,4.0
TKT_0000308,CUST_00185,2024-12-05,Shipping Delay,Resolved,5.0
TKT_0000309,CUST_00187,2024-03-01,Technical Problem,Resolved,6.0
TKT_0000310,CUST_00188,2024-08-21,Billing,Resolved,5.0
TKT_0000311,CUST_00188,2024-07-09,Product Quality,Resolved,6.0
TKT_0000312,CUST_00188,2024-11-18,Billing,Pending,
TKT_0000313,CUST_00188,2024-07-11,Product Quality,Resolved,5.0
TKT_0000314,CUST_00188,2024-11-02,Account Issue,Open,
TKT_0000315,CUST_00189,2024-12-04,Billing,Resolved,6.0
TKT_0000316,CUST_00193,2024-02-11,Billing,Pending,
TKT_0000317,CUST_00193,2024-02-09,Billing,Pending,
TKT_0000318,CUST_00193,2023-06-12,Account Issue,Resolved,5.0
TKT_0000319,CUST_00194,2024-12-11,Product Quality,Pending,
TKT_0000320,CUST_00194,2024-03-24,Product Quality,Resolved,5.0
TKT_0000321,CUST_00194,2023-10-05,Product Quality,Resolved,7.0
TKT_0000322,CUST_00195,2023-10-29,General Inquiry,Resolved,2.0
TKT_0000323,CUST_00195,2024-08-14,Product Quality,Resolved,3.0
TKT_0000324,CUST_00195,2023-11-26,Billing,Resolved,5.0
TKT_0000325,CUST_00196,2024-06-24,Shipping Delay,Resolved,5.0
TKT_0000326,CUST_00196,2024-03-03,Product Quality,Pending,
TKT_0000327,CUST_00197,2024-12-10,Shipping Delay,Resolved,3.0
TKT_0000328,CUST_00197,2024-02-06,General Inquiry,Open,
TKT_0000329,CUST_00197,2024-01-16,Billing,Resolved,6.0
TKT_0000330,CUST_00198,2024-05-03,Shipping Delay,Resolved,5.0
TKT_0000331,CUST_00198,2024-06-23,Account Issue,Resolved,7.0
TKT_0000332,CUST_00198,2024-03-11,Return Request,Resolved,6.0
TKT_0000333,CUST_00198,2024-06-14,Return Request,Open,
TKT_0000334,CUST_00200,2024-06-27,Billing,Resolved,5.0
TKT_0000335,CUST_00200,2024-06-10,Return Request,Resolved,2.0
TKT_0000336,CUST_00201,2024-12-28,Product Quality,Resolved,1.0
TKT_0000337,CUST_00202,2024-10-02,Account Issue,Resolved,4.0
TKT_0000338,CUST_00202,2024-03-13,Return Request,Resolved,2.0
TKT_0000339,CUST_00202,2024-08-22,Product Quality,Resolved,2.0
TKT_0000340,CUST_00202,2024-01-30,Shipping Delay,Open,
TKT_0000341,CUST_00202,2024-04-07,Shipping Delay,Resolved,2.0
TKT_0000342,CUST_00203,2023-12-07,Billing,Pending,
TKT_0000343,CUST_00203,2024-05-31,Account Issue,Resolved,3.0
TKT_0000344,CUST_00203,2023-08-15,Shipping Delay,Resolved,3.0
TKT_0000345,CUST_00203,2023-04-07,Shipping Delay,Resolved,2.0
TKT_0000346,CUST_00204,2024-06-23,General Inquiry,Resolved,1.0
TKT_0000347,CUST_00205,2024-05-09,Account Issue,Resolved,5.0
TKT_0000348,CUST_00205,2023-10-27,Return Request,Resolved,7.0
TKT_0000349,CUST_00206,2024-07-05,Technical Problem,Resolved,4.0
TKT_0000350,CUST_00206,2024-07-26,General Inquiry,Resolved,1.0
TKT_0000351,CUST_00206,2024-03-30,Technical Problem,Resolved,4.0
TKT_0000352,CUST_00207,2024-11-30,Return Request,Resolved,7.0
TKT_0000353,CUST_00208,2024-12-13,Technical Problem,Resolved,7.0
TKT_0000354,CUST_00209,2023-07-20,Billing,Pending,
TKT_0000355,CUST_00209,2023-03-27,Technical Problem,Pending,
TKT_0000356,CUST_00209,2024-04-28,Shipping Delay,Resolved,1.0
TKT_0000357,CUST_00209,2024-03-09,General Inquiry,Resolved,2.0
TKT_0000358,CUST_00209,2024-11-13,General Inquiry,Pending,
TKT_0000359,CUST_00210,2024-07-16,Billing,Resolved,4.0
TKT_0000360,CUST_00211,2023-09-04,General Inquiry,Pending,
TKT_0000361,CUST_00213,2024-12-18,Product Quality,Resolved,2.0
TKT_0000362,CUST_00214,2024-02-14,Billing,Resolved,2.0
TKT_0000363,CUST_00214,2024-05-08,Return Request,Resolved,5.0
TKT_0000364,CUST_00214,2024-08-24,Product Quality,Resolved,2.0
TKT_0000365,CUST_00214,2023-08-16,Account Issue,Resolved,4.0
TKT_0000366,CUST_00215,2024-09-09,General Inquiry,Resolved,7.0
TKT_0000367,CUST_00215,2024-03-30,Account Issue,Resolved,4.0
TKT_0000368,CUST_00216,2023-09-21,Technical Problem,Resolved,3.0
TKT_0000369,CUST_00216,2024-11-09,General Inquiry,Open,
TKT_0000370,CUST_00216,2023-09-11,Technical Problem,Resolved,2.0
TKT_0000371,CUST_00216,2024-11-12,Technical Problem,Pending,
TKT_0000372,CUST_00217,2024-07-16,General Inquiry,Resolved,6.0
TKT_0000373,CUST_00217,2024-12-23,Account Issue,Resolved,3.0
TKT_0000374,CUST_00218,2024-07-28,Shipping Delay,Resolved,7.0
TKT_0000375,CUST_00219,2024-07-18,Technical Problem,Resolved,3.0
TKT_0000376,CUST_00220,2024-11-10,Return Request,Open,
TKT_0000377,CUST_00220,2024-11-12,Return Request,Open,
TKT_0000378,CUST_00220,2024-06-06,Product Quality,Resolved,6.0
TKT_0000379,CUST_00220,2024-05-15,Shipping Delay,Resolved,6.0
TKT_0000380,CUST_00220,2024-08-11,Product Quality,Resolved,6.0
TKT_0000381,CUST_00221,2024-09-05,General Inquiry,Resolved,4.0
TKT_0000382,CUST_00221,2024-12-07,General Inquiry,Resolved,6.0
TKT_0000383,CUST_00222,2024-04-26,Shipping Delay,Resolved,7.0
